Match,BPrev,BStreak,B_Age,B_Age Group,B_Height,B_ID,B_Weight,RPrev,RStreak,R_Age,R_Age_Group,R_Height,R_ID,R_Weight,winner,Blue Impact,Red Impact Score
813,1,1,30,30's,187,2105,120,1,1,39,30's,193,306,120,blue,1155,673
814,0,0,29,20's,180,2611,84,3,0,32,30's,182,2069,84,red,0,8262
815,3,1,35,30's,172,941,65,1,1,32,30's,182,2092,65,red,7052,1517
816,0,0,26,20's,182,2703,77,0,0,24,20's,175,2702,76,blue,0,0
817,1,1,32,30's,182,1820,77,0,0,36,30's,182,432,77,red,266,0
818,0,0,35,30's,167,2576,65,0,0,26,20's,182,2575,70,red,0,0
819,5,4,31,30's,180,2214,65,4,1,32,30's,177,1486,65,red,21337,16153
820,0,0,27,20's,185,2173,77,0,0,36,30's,182,2174,77,red,0,0
821,1,0,29,20's,177,1875,77,1,1,29,20's,185,2656,77,red,153,579
822,0,0,32,30's,175,1744,65,1,0,22,20's,170,2320,61,blue,0,461
823,0,0,27,20's,177,2872,70,2,2,32,30's,172,2773,70,blue,0,8098
824,1,1,35,30's,172,2317,65,4,4,30,30's,170,1828,61,blue,4266,1093
825,0,0,33,30's,182,2286,84,0,0,28,20's,187,2282,77,blue,0,0
826,1,0,27,20's,185,2244,70,1,0,36,30's,175,2096,70,red,163,4108
827,3,1,32,30's,167,1839,61,5,1,36,30's,167,2022,61,red,7227,12299
828,3,1,37,30's,185,1663,93,0,0,38,30's,185,348,93,red,6326,0
829,1,0,30,30's,154,2278,61,3,0,34,30's,175,2221,61,red,3112,5597
830,2,1,33,30's,190,2252,84,2,2,28,20's,185,2224,84,red,5371,5748
831,0,0,32,30's,172,2773,70,2,2,32,30's,180,2019,70,blue,0,4557
832,0,0,34,30's,177,1493,70,0,0,32,30's,175,520,70,blue,0,0
833,5,2,43,40's,177,735,120,0,0,39,30's,190,305,120,no contest,8778,0
834,0,0,29,20's,165,2731,61,2,0,31,30's,165,1380,61,blue,0,6498
